model,domain,mean,min,max,std
squad_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_squad,0.495525,0.4275,0.55,0.024815722350106505
squad_gpt_j_random,MAGE_HDSR_train_squad,0.420075,0.3225,0.5025,0.03399245125648108
squad_gpt_neox_random,MAGE_HDSR_train_squad,0.344975,0.295,0.4175,0.02741031058311135
squad_opt_1.3b_random,MAGE_HDSR_train_squad,0.47765,0.4075,0.5425,0.025900011700009055
squad_opt_125m_random,MAGE_HDSR_train_squad,0.44145,0.385,0.5,0.023834392856296616
squad_opt_13b_random,MAGE_HDSR_train_squad,0.36485,0.2775,0.515,0.05543425899844852
squad_opt_2.7b_random,MAGE_HDSR_train_squad,0.443325,0.3675,0.515,0.02832231291916162
squad_opt_30b_random,MAGE_HDSR_train_squad,0.41045,0.31,0.5075,0.03677734672761525
squad_opt_350m_random,MAGE_HDSR_train_squad,0.4979,0.4275,0.57,0.027788250551030895
squad_opt_6.7b_random,MAGE_HDSR_train_squad,0.45585,0.4025,0.51,0.026515242424086576
squad_opt_iml_30b,MAGE_HDSR_train_squad,0.45055,0.3925,0.5375,0.027831065050015275
squad_opt_iml_max,MAGE_HDSR_train_squad,0.467775,0.4175,0.53,0.024979524443314388
squad_t0_11b_random,MAGE_HDSR_train_squad,0.53,0.47,0.5975,0.026140645235596876
squad_t0_3b_random,MAGE_HDSR_train_squad,0.5304,0.4625,0.59,0.024872706228947335
squad_text-davinci-002_random_forest,MAGE_HDSR_train_squad,0.49174999999999996,0.425,0.55,0.025214984722292704
squad_text-davinci-003_random_forest,MAGE_HDSR_train_squad,0.500425,0.445,0.565,0.022924048397905093
tldr_13B_random_forest,MAGE_HDSR_train_tldr,0.487775,0.45,0.5175,0.013271138084603219
tldr_30B_random_forest,MAGE_HDSR_train_tldr,0.4875,0.4575,0.515,0.012133516482134192
tldr_65B_random_forest,MAGE_HDSR_train_tldr,0.49355,0.4575,0.53,0.014660208633294314
tldr_7B_random_forest,MAGE_HDSR_train_tldr,0.4914,0.4375,0.5225,0.01554693123118098
tldr_bloom_7b_random,MAGE_HDSR_train_tldr,0.49255,0.435,0.54,0.02052954264498167
tldr_flan_t5_base,MAGE_HDSR_train_tldr,0.537525,0.4925,0.5775,0.01644740239230942
tldr_flan_t5_large,MAGE_HDSR_train_tldr,0.564075,0.5175,0.61,0.02072138101848261
tldr_flan_t5_small,MAGE_HDSR_train_tldr,0.55115,0.5075,0.61,0.01955767177484389
tldr_flan_t5_xl,MAGE_HDSR_train_tldr,0.543,0.505,0.58,0.016021607884101997
tldr_flan_t5_xxl,MAGE_HDSR_train_tldr,0.5492,0.5,0.6,0.019065543514281188
tldr_GLM130B_random_forest,MAGE_HDSR_train_tldr,0.49265,0.465,0.55,0.014546251556446918
tldr_gpt-3.5-turbo_random_forest,MAGE_HDSR_train_tldr,0.5595,0.495,0.6425,0.02914826259181174
tldr_gpt_j_random,MAGE_HDSR_train_tldr,0.4821,0.445,0.5125,0.014701233370920361
tldr_gpt_neox_random,MAGE_HDSR_train_tldr,0.484525,0.4475,0.52,0.014935446110011255
tldr_opt_1.3b_random,MAGE_HDSR_train_tldr,0.4884,0.4575,0.5175,0.012675634783777779
tldr_opt_125m_random,MAGE_HDSR_train_tldr,0.4976,0.46,0.5325,0.014813316422541694
tldr_opt_13b_random,MAGE_HDSR_train_tldr,0.49155,0.4425,0.535,0.017673312072046924
tldr_opt_2.7b_random,MAGE_HDSR_train_tldr,0.486625,0.4375,0.5325,0.015772911025623077
tldr_opt_30b_random,MAGE_HDSR_train_tldr,0.4821,0.43,0.53,0.01750079363279785
tldr_opt_350m_random,MAGE_HDSR_train_tldr,0.526075,0.47,0.6325,0.027041062583718224
tldr_opt_6.7b_random,MAGE_HDSR_train_tldr,0.486125,0.4525,0.5125,0.013616199316930682
tldr_opt_iml_30b,MAGE_HDSR_train_tldr,0.496575,0.46,0.545,0.015483189809166157
